3753,7500,-9045
2578,5947,-7284
1343,5195,-5290
495,4745,-3157
25,5194,-1402
276,6326,-542
123,5657,1078
4,4955,2483
-586,4689,4938
-1279,4572,8769
-1420,5442,13887
-2136,5912,19712
-3111,3508,29127
-4088,4033,32767
-3857,5751,32767
-3812,5705,32767
-2161,6404,32767
-1804,5737,32767
-2358,6136,32767
-1419,5819,30304
-171,7986,32767
709,11127,32767
-255,8129,32767
-809,5951,32767
-1239,6501,32767
-2012,3675,32767
-3107,2117,31555
-1167,2849,32767
976,4433,32767
1189,4143,32767
-557,881,30781
540,1998,27152
376,1353,21576
-198,752,17243
1217,1018,19282
2307,1855,18761
2849,1707,17436
2408,1122,15202
256,301,16566
1543,169,19782
2359,1425,19382
1226,499,17719
859,506,15201
2262,689,13563
2890,995,12564
1350,869,12390
-493,-114,9586
2211,-229,14030
3272,389,14757
2729,-79,14263
2280,-160,12591
2491,22,14284
4044,-894,16239
3485,-688,13770
3351,-870,11548
1816,-447,9619
110,-1070,8839
-1922,-901,6107
-2740,-774,4087
-1729,-331,1408
-2916,-109,-1968
-4172,-375,-4425
-2327,-23,-1299
-746,211,513
-508,282,343
-510,391,-1822
-794,450,-5801
-634,595,-12714
-251,-5,-21429
2034,144,-27763
2588,-411,-32768
1882,-1270,-32768
-501,-3141,-32768
-3599,-6244,-32768
-5760,-8790,-32768
-6636,-9732,-32768
-5813,-9347,-32768
-2693,-9458,-32768
-2537,-9182,-32768
-3945,-8698,-32768
-2049,-9090,-32768
-1591,-7742,-32768
-1485,-6660,-32768
-736,-5667,-32768
-241,-5066,-32768
300,-4271,-29640
192,-3433,-26521
859,-2959,-23866
1425,-910,-21540
796,-905,-18808
1115,-166,-15900
991,-790,-14943
1201,-1114,-13813
1380,-1169,-14546
1461,114,-14694
1451,408,-14716
1221,668,-15295
1820,1485,-15159
1341,1931,-12762
1182,4078,-9353
1022,6292,-7606
877,6948,-6306
1011,6622,-5998
953,6327,-4473
788,5165,-3180
632,3306,-2516
362,1920,-1727
131,831,-1389
139,269,-1409
-20,429,-802
-71,1206,183
-48,2836,1695
-187,3709,3045
271,5474,8599
423,8043,13324
364,7656,18531
-407,8242,27462
-856,8366,32767
-1618,7984,32767
-2402,6428,32767
-3283,7160,32767
-4509,5121,32767
-5536,2305,32767
-7830,3098,32767
-7796,3411,32767
-7491,2751,32767
-5814,3630,32767
-1310,5096,32767
-1336,5502,32767
-2871,2668,32767
-3334,824,32767
-3930,1003,30075
-3841,637,25408
-3516,673,24541
-1033,1992,24031
-409,2225,24152
-109,1551,24970
-318,1532,23341
507,1044,23687
534,891,21512
2411,165,26158
3324,1035,24364
2997,664,22451
1275,-227,18861
1291,994,21225
3141,-512,22032
2929,-3,18609
1897,15,14544
1814,564,14723
4169,-930,17866
3623,29,15736
1184,-257,13814
1672,647,15171
1844,-498,15824
772,116,13206
-1073,543,10237
-1629,706,7169
-1650,353,4696
-4161,45,193
-5051,19,-1551
-4287,-356,-1748
-3670,35,-2400
-891,-399,2825
-1150,-380,5128
-847,-41,7741
-1575,-68,8152
-1236,609,6845
-774,586,5113
-1177,299,2941
-2265,195,406
-4048,484,-2272
-2712,396,176
-3311,496,109
-3109,530,69
-1085,443,297
-259,453,960
3502,352,8381
3768,-603,10230
3878,-128,9271
3203,-303,7108
2841,-184,4938
1524,40,2435
104,148,-1089
-1285,653,-4233
-2119,836,-8470
-2632,416,-11892
235,-132,-5279
327,-592,-1780
951,-572,-1499
1536,-659,-1219
1133,-845,-1792
1071,-709,-2347
1438,-832,-3628
2335,-755,-5933
1078,-796,-10191
-126,-603,-16158
-1781,-933,-25481
-6146,-1200,-32768
-9718,-6252,-32768
-5977,-5601,-32768
-3286,-4515,-32768
-2349,-4824,-32768
33,-4129,-32768
2035,-2423,-32768
2402,-1855,-32724
1966,-2692,-32768
620,-4037,-32768
-819,-5222,-32768
-2035,-6599,-32768
-3451,-8493,-32768
-2964,-7467,-25203
1168,-2530,-19882
3368,255,-19113
4417,1017,-19931
4253,1063,-21840
4434,80,-25639
4211,-632,-29110
3275,-2458,-31676
2990,-4287,-32768
2974,-3499,-32768
2828,-4604,-32423
2231,-4982,-27847
1845,-4607,-23180
2033,-3293,-18570
2360,-1275,-14460
2572,185,-12468
3169,1040,-13592
3440,2345,-13495
2922,2474,-12155
2408,1560,-11141
2245,430,-11914
2176,-325,-12229
2063,-376,-11507
2111,-335,-10836
1892,-1145,-9197
1481,-2250,-6928
