-142,-307,1265
-147,-282,1199
-305,-245,1046
-515,-131,991
-586,98,933
-510,275,966
-394,283,1056
-436,247,1026
-529,154,906
-644,-73,698
-719,-349,518
-669,-498,321
-651,-392,229
-696,-132,127
-674,53,44
-486,184,27
-137,296,101
115,317,159
233,435,147
286,655,51
369,798,-51
409,760,-170
364,578,-264
188,356,-263
-53,205,-237
-430,189,-107
-688,285,-21
-729,364,124
-675,312,311
-546,374,476
-384,494,726
-340,587,942
-462,591,1137
-631,590,1243
-667,639,1236
-830,766,1237
-709,648,1245
-517,814,772
-1321,1302,1122
-753,1206,1342
-457,908,1580
-780,1225,1778
-538,1513,2199
-430,1765,2840
-450,1938,3587
-439,1946,4309
-489,1767,4919
-635,1222,5482
-822,748,5987
-963,372,6484
-1057,192,6917
-1126,290,7497
-1093,607,8195
-1003,1163,9063
-995,1855,10053
-1115,2471,11088
-1284,2807,12094
-1535,2877,13054
-1833,2731,13569
-2366,2559,14559
-2937,2208,15540
-3486,1760,16668
-4060,1242,17693
-4564,683,18533
-4834,462,19075
-4909,539,19346
-5097,1129,19184
-5200,2033,18909
-5063,3023,18492
-4645,3880,18303
-4061,4680,18278
-3360,4902,18231
-2364,4065,18134
-987,2318,17598
589,483,16206
1851,-743,14159
2810,-1689,11557
3585,-3233,7927
4132,-6165,2938
4698,-9611,-3625
4996,-12690,-11422
4775,-15046,-21232
4453,-15507,-32768
4084,-13463,-32768
4164,-9181,-32768
5090,-3315,-32768
6359,2196,-32768
8863,7716,-32768
13868,13709,-32768
20255,16361,-32768
22273,14930,-32768
21773,11926,-32768
21822,8236,-32768
18617,2188,-32768
15632,-2493,-32768
13981,-5088,-32768
13247,-6506,-32768
12373,-7880,-32768
11521,-9152,-32768
9284,-11194,-32768
8148,-11960,-32768
6987,-12520,-32768
5824,-12831,-32768
4658,-12886,-32768
3531,-12805,-32768
2431,-12408,-32768
1444,-11790,-32768
500,-10955,-32768
-340,-9915,-32768
-1051,-8653,-32768
-1697,-7231,-32768
-2211,-5715,-32768
-2635,-4061,-32768
-2981,-2311,-32768
-3196,-571,-32768
-3342,1163,-32768
-3378,2887,-32768
-3370,4521,-32768
-3222,6114,-32768
-2993,7468,-32768
-2699,8720,-32768
-2288,9833,-32768
-1849,10708,-32768
-1332,11363,-32768
-758,11879,-32768
-120,12134,-32768
657,12157,-32768
1438,12045,-32768
2244,11648,-32768
3041,11022,-32768
3755,10021,-32768
4186,8178,-32768
-2143,-4474,-32768
4509,-32768,-32768
24013,5499,-20284
21362,22103,12174
11296,10883,20122
4138,-183,21297
1485,-4800,21547
1037,-6317,21947
1463,-6855,22290
1714,-6913,22319
1925,-6867,22364
2065,-6988,22334
2216,-6982,22366
2401,-6822,22387
2561,-6710,22400
2743,-6637,22403
2817,-6430,22420
1662,-5746,22532
-2055,-4951,22565
-8220,-4583,22250
-16880,-4903,20996
-26099,-5591,18029
-32599,-3770,13239
-32768,1496,6200
-25569,10774,-910
-13660,17807,-2122
-5478,16590,-1275
-1398,10991,-889
641,5017,-756
1833,-36,-647
2582,-3852,-482
3148,-6160,-286
3698,-6817,-112
4267,-6041,-102
4685,-4239,-261
4792,-1969,-379
4254,239,-303
2668,1705,-215
357,1810,-99
-1587,1033,-62
-2702,328,-53
-2872,111,-91
-2244,300,-61
-1117,587,-83
115,619,-88
900,302,-96
965,-48,-141
511,-106,-151
-164,130,-92
-726,479,-30
-906,654,-52
-687,491,-50
-224,238,-109
183,104,-144
263,124,-121
11,273,-100
-361,332,-74
-582,358,-60
-523,401,-95
-259,315,-79
-12,260,-114
34,213,-105
-112,237,-94
-330,317,-77
-417,382,-67
-384,338,-60
-233,313,-78
-79,246,-111
-81,266,-85
-201,265,-79
-317,317,-68
-330,339,-95
-261,332,-92
-184,296,-100
-133,260,-110
-185,298,-81
-248,288,-87
-282,290,-82
-251,279,-77
-228,303,-74
-187,284,-108
-187,310,-98
-241,317,-91
-269,323,-86
-278,297,-90
-216,273,-78
-188,283,-95
-209,299,-77
-236,288,-100
-276,326,-78
-256,310,-70
-248,293,-73
-206,272,-84
-198,271,-79
-169,289,-103
-222,290,-107
-243,297,-99
-227,315,-94
-253,316,-84
-228,276,-73
-183,284,-64
-177,282,-107
-213,289,-90
-244,309,-74
-275,306,-81
-255,308,-87
-231,301,-107
-201,266,-87
-217,249,-89
-209,298,-88
-237,284,-100
-274,327,-102
-236,260,-81
-245,298,-96
-213,285,-99
-222,290,-85
-215,275,-75
-226,298,-91
-238,319,-92
-252,309,-78
-237,316,-91
-222,291,-77
-214,283,-88
-200,292,-86
-213,314,-89
-250,304,-102
-272,306,-86
-241,291,-109
-230,299,-92
-207,313,-79
-214,278,-69
-230,310,-76
-229,298,-80
-260,307,-99
-235,296,-88
-213,269,-87
-219,291,-76
-229,306,-97
-211,275,-114
-223,287,-99
-257,291,-83
-246,295,-87
-225,289,-105
-219,282,-56
-238,286,-105
-231,290,-83
-240,282,-69
-252,301,-101
-227,301,-84
-219,305,-84
-223,285,-69
-224,277,-63
-236,278,-93
-238,310,-66
-241,319,-82
-242,306,-98
-233,271,-78
-238,299,-67
-223,293,-54
-231,301,-68
-249,313,-73
-264,274,-72
-240,294,-92
-244,298,-79
-216,297,-102
-217,324,-73
-234,313,-73
-218,291,-96
-220,303,-92
-226,291,-78
-217,308,-85
-237,279,-81
-234,295,-82
-241,315,-88
-251,294,-60
-241,307,-91
-220,282,-101
-225,281,-67
-241,310,-82
-256,291,-92
-249,297,-84
-209,313,-72
-235,270,-80
-238,289,-76
-234,293,-99
